iter	RMSE
192	268.228515
193	267.8083468
194	267.7768012
195	267.4057537
196	266.9246507
197	266.6408988
198	266.5309875
199	265.8412956
200	265.3911331
201	265.3653077
202	264.7024905
203	264.241687
204	263.7846897
205	263.2060051
206	263.1334186
207	262.8336918
208	262.5630095
209	262.2009174
210	261.7351467
211	261.262773
212	260.9708013
213	260.4783707
214	260.0919639
215	259.6876029
216	259.0482643
217	258.7338649
218	258.3398744
219	257.9835945
220	257.4648283
221	257.1701196
222	256.8384465
223	256.3046045
224	255.9121452
225	255.7192319
226	255.2565455
227	254.8204192
228	254.5777087
229	253.9884256
230	253.5825231
231	253.2904072
232	252.8701431
233	252.6902462
234	252.4295482
235	251.8858175
236	251.5864786
237	251.3393659
238	251.1622423
239	250.8756119
240	250.5213343
241	250.3630066
242	250.0752205
243	249.7489888
244	249.4708634
245	249.1170129
246	248.8597379
247	248.4006156
248	248.0738808
249	247.8468011
250	247.4522437
251	247.3220214
252	247.055092
253	246.7996069
254	246.5610442
255	246.3448167
256	246.0838628
257	245.7737794
258	245.5265236
259	245.2475885
260	245.0030076
261	244.8201288
262	244.5936762
263	244.3842639
264	244.1896738
265	243.9638209
266	243.696676
267	243.2839424
268	242.9815514
269	242.8238276
270	242.5950013
271	242.3596438
272	242.2316005
273	242.0305779
274	241.8703921
275	241.6656942
276	241.3331522
277	240.9255546
278	240.6102637
279	240.4927077
280	240.0565037
281	239.7744894
282	239.6394035
283	239.3720932
284	239.117256
285	238.9457954
286	238.8217411
287	238.6442644
288	238.2281698
289	237.9566011
290	237.7344605
291	237.2127076
292	236.9480759
293	236.7601171
294	236.5473629
295	236.3126009
296	236.1184602
297	235.9015192
298	235.682932
299	235.534441
300	235.1611447
301	234.8127511
302	234.6000039
303	234.2517578
304	234.1440022
305	234.0079478
306	233.9034334
307	233.7663789
308	233.5770053
309	233.431595
310	233.1138208
311	232.6710019
312	232.4644548
313	232.243789
314	232.0556865
315	231.9104201
316	231.7513169
317	231.5624317
318	231.125617
319	230.9613648
320	230.8487717
321	230.8367988
322	230.7396994
323	230.4876493
324	230.3744531
325	230.2419017
326	230.1320109
327	230.0114075
328	229.8193087
329	229.7074847
330	229.5009518
331	229.4169063
332	229.3199611
333	229.019418
334	228.9313008
335	228.9207171
336	228.7043856
337	228.5067372
338	228.4174969
339	227.8010923
340	227.5421621
341	227.5354825
342	227.346278
343	227.2182887
344	227.0513019
345	226.6243734
346	226.4587065
347	226.0337612
348	225.9149267
349	225.6306538
350	225.5170055
351	225.3261771
352	225.1856041
353	224.967257
354	224.8032676
355	224.7223767
356	224.5273843
357	224.2793979
358	223.8950781
359	223.7766014
360	223.523985
361	223.4631888
362	223.2155064
363	222.9632479
364	222.7328028
365	222.5105763
366	222.5017838
367	222.2979974
368	221.6876231
369	221.536243
370	221.529225
371	221.2466275
372	221.1185495
373	221.0473988
374	220.916653
375	220.8110285
376	220.699023
377	220.5540289
378	220.4574866
379	220.2993978
380	220.071727
381	219.7432656
382	219.7376907
383	219.6135035
384	219.3023388
385	219.2347765
386	219.1198976
387	219.1133289
388	219.0256407
389	218.8519755
390	218.7025732
391	218.53005
392	218.1464039
393	218.1025062
394	217.8200736
395	217.7782168
396	217.185302
397	217.0676246
398	216.8996872
399	216.6467718
400	216.4992762
401	216.3822642
402	216.2490214
403	216.0943013
404	215.972405
405	215.8494519
406	215.6477764
407	215.6012931
408	215.4750886
409	215.4669845
410	215.3515425
411	215.2148257
412	215.0741743
413	215.0120198
414	214.8667366
415	214.8363344
416	214.2654658
417	213.8094586
418	213.7086587
419	213.6455425
420	213.5377733
421	212.9910177
422	212.8007501
423	212.7565911
424	212.5375478
425	212.3668967
426	212.2535577
427	212.1420788
428	211.8843326
429	211.8203835
430	211.6232293
431	211.5128477
432	211.4764981
433	210.9426182
434	210.9356918
435	210.8215332
436	210.7196841
437	210.2789644
438	209.9268684
439	209.7260476
440	209.5959585
441	209.4347747
442	209.2713416
443	209.2226231
444	209.1257027
445	209.019876
446	208.8246745
447	208.7154271
448	208.6844539
449	208.5035748
450	208.405656
451	208.1560664
452	208.136179
453	208.1079709
454	207.8387282
455	207.6816499
456	207.5651926
457	207.4621834
458	207.2262575
459	207.0680223
460	206.9767584
461	206.8946381
462	206.8419548
463	206.7902094
464	206.7070679
465	206.6735815
466	206.6693616
467	206.5293331
468	206.3815231
469	206.3078921
470	206.2765496
471	205.9758807
472	205.8846388
473	205.7473534
474	205.5396786
475	205.3741069
476	205.2909954
477	205.1434629
478	205.0571906
479	204.9251256
480	204.8646279
481	204.594114
482	204.4612202
483	204.2788518
484	204.0294622
485	203.9035455
486	203.7944193
487	203.6726426
488	203.5953535
489	203.4803932
490	203.4396583
491	203.411497
492	203.1989512
493	203.1230237
494	203.0024504
495	202.8179025
496	202.7101088
497	202.5260437
498	202.3198949
499	202.1905561
500	202.0933527
501	201.9616198
502	201.8247813
503	201.6267531
504	201.5740402
505	201.5253669
506	201.4744707
507	200.9415386
508	200.849431
509	200.7874393
510	200.7818304
511	200.6802623
512	200.6765134
513	200.6386976
514	200.5659856
515	200.5376057
516	200.2871249
517	200.1010219
518	199.944083
519	199.7762658
520	199.5875752
521	199.5068472
522	199.2637584
523	199.1940839
524	199.1067025
525	199.0390945
526	198.9577604
527	198.7967861
528	198.6299683
529	198.5546744
530	198.4002523
531	198.3793001
532	198.2864946
533	198.1945132
534	198.0808919
535	197.9537956
536	197.8696887
537	197.7822234
538	197.7161337
539	197.5590405
540	197.4153673
541	197.3799845
542	197.1250652
543	197.051486
544	196.991101
545	196.9474752
546	196.8858648
547	196.877375
548	196.7635511
549	196.6521643
550	196.5989845
551	196.311962
552	196.227575
553	196.0209886
554	195.9683004
555	195.8054452
556	195.7130748
557	195.6892343
558	195.5838705
559	195.0821137
560	194.9917059
561	194.9375346
562	194.8872632
563	194.8387742
564	194.7867548
565	194.666794
566	194.5995653
567	194.5055044
568	194.4030903
569	194.3647974
570	194.2533098
571	194.1811765
572	194.0313165
573	193.7621992
574	193.5694756
575	193.4869089
576	193.4654746
577	192.9891011
578	192.9062291
579	192.6070123
580	192.5376144
581	192.5003685
582	192.4049281
583	192.3043585
584	192.1734896
585	192.1227293
586	192.0782301
587	192.015222
588	192.0109472
589	191.8828885
590	191.7815608
591	191.7423148
592	191.7043425
593	191.6357441
594	191.5100652
595	191.4584457
596	190.9359644
597	190.8116322
598	190.7606254
599	190.6175234
600	190.5408683
601	190.4629026
602	190.332847
603	190.1849211
604	190.0379372
605	189.9862166
606	189.8747906
607	189.7280626
608	189.6884853
609	189.6065538
610	189.5016617
611	189.4468361
612	188.9296017
613	188.8676959
614	188.8392549
615	188.817509
616	188.8136022
617	188.7340379
618	188.6043644
619	188.4735284
620	188.2731369
621	188.2126046
622	188.0741747
623	188.0040245
624	187.9515328
625	187.8389086
626	187.764413
627	187.667465
628	187.4923103
629	187.4515379
630	187.2562131
631	187.2028038
632	187.141177
633	186.9974734
634	186.6460645
635	186.5746074
636	186.5207424
637	186.3936745
638	186.3532972
639	186.2139436
640	186.1337997
641	186.0329346
642	185.9715534
643	185.9181024
644	185.8549001
645	185.8024124
646	185.7314413
647	185.6419077
648	185.5167296
649	185.4502528
650	185.3578486
651	185.309688
652	185.2670294
653	184.8557193
654	184.8031863
655	184.699894
656	184.6769814
657	184.6460002
658	184.5611356
659	184.5157935
660	184.1154403
661	184.0776248
662	183.6923043
663	183.6205938
664	183.5887848
665	183.0904661
666	182.9874926
667	182.9381277
668	182.9070246
669	182.7959904
670	182.7187018
671	182.5781587
672	182.4875664
673	182.4232469
674	182.3758496
675	182.2781926
676	182.1856722
677	181.7892448
678	181.6996739
679	181.6051266
680	181.5292398
681	181.44803
682	181.4202001
683	181.3813333
684	181.3244287
685	181.2126454
686	181.1853308
687	181.0643958
688	180.8849708
689	180.8638568
690	180.8516408
691	180.7762823
692	180.7012656
693	180.6478682
694	180.577134
695	180.191418
696	180.0007358
697	179.9416117
698	179.8971078
699	179.8555707
700	179.6838787
701	179.6477756
702	179.616356
703	179.5328006
704	179.483577
705	179.4004773
706	179.0340844
707	179.0042885
708	178.8541182
709	178.7493158
710	178.6630215
711	178.5378419
712	178.4309845
713	178.3636001
714	178.3363288
715	178.3080376
716	178.2889263
717	178.180404
718	178.0883427
719	178.0377732
720	178.0282375
721	177.9171712
722	177.8191669
723	177.7434052
724	177.6874888
725	177.6132786
726	177.5571523
727	177.4926622
728	177.3997619
729	177.3641127
730	177.2568105
731	177.1863663
732	177.0658124
733	176.9505855
734	176.7298846
735	176.6791271
736	176.6085069
737	176.5229921
738	176.4943599
739	176.4544928
740	176.3553455
741	176.2849846
742	175.9497587
743	175.8921704
744	175.8320753
745	175.7742459
746	175.6999252
747	175.6762694
748	175.6376437
749	175.4479689
750	175.3400827
751	175.3265707
752	175.1621883
753	175.0808146
754	174.9950981
755	174.9683618
756	174.963029
757	174.8752305
758	174.7929037
759	174.7012804
760	174.6762604
761	174.5965735
762	174.5768181
763	174.224351
764	173.8156265
765	173.4617698
766	173.4102014
767	173.2675828
768	173.2562189
769	173.1998177
770	173.1852635
771	173.1413425
772	173.0265442
773	172.9269421
774	172.8703668
775	172.7988189
776	172.7180574
777	172.6988509
778	172.6878289
779	172.6358396
780	172.6147567
781	172.5488323
782	172.4766158
783	172.3009433
784	172.2638561
785	172.173389
786	172.1173717
787	172.0669802
788	172.0384053
789	172.0152137
790	171.9664972
791	171.8626959
792	171.6853862
793	171.5727077
794	171.5260852
795	171.4474559
796	171.4094544
797	171.0754105
798	170.9878819
799	170.9419739
800	170.8717555
801	170.8366815
802	170.7894586
803	170.7474936
804	170.6964487
805	170.6846486
806	170.6590425
807	170.5812619
808	170.4891631
809	170.4363897
810	170.4317853
811	170.4093251
812	170.407185
813	170.3697903
814	170.3492277
815	170.296218
816	170.2279151
817	170.1609342
818	170.144094
819	170.0757763
820	170.0061602
821	169.7812113
822	169.7511406
823	169.700976
824	169.6873039
825	169.5584086
826	169.5236685
827	169.4133192
828	169.3179322
829	169.2597619
830	169.2024731
831	169.0162163
832	168.6986812
833	168.6619538
834	168.6438689
835	168.5796902
836	168.5604254
837	168.4988989
838	168.4339478
839	168.300969
840	168.1737259
841	167.8732251
842	167.8409169
843	167.5489841
844	167.4431269
845	167.3880091
846	167.2551447
847	167.2048696
848	167.1625858
849	167.1093758
850	167.0948253
851	167.0496527
852	167.0161402
853	166.8932703
854	166.874052
855	166.8403334
856	166.8024875
857	166.5217242
858	166.4537177
859	166.3556165
860	166.2632693
861	166.2274065
862	166.1815025
863	166.1388209
864	165.8654734
865	165.8532142
866	165.5813359
867	165.4290535
868	165.3570394
869	165.2950303
870	165.1929634
871	165.1570487
872	165.1195957
873	164.860405
874	164.8170231
875	164.7445257
876	164.7190867
877	164.6685197
878	164.6026548
879	164.5280614
880	164.5185029
881	164.4047455
882	164.1527491
883	164.0852757
884	164.0641217
885	164.0409336
886	164.0010959
887	163.755869
888	163.6972531
889	163.641725
890	163.5812336
891	163.343897
892	163.3179119
893	163.3160856
894	163.2855684
895	163.2024774
896	163.1882181
897	163.1586854
898	163.0763145
899	162.9988235
900	162.9821088
901	162.9690819
902	162.9149111
903	162.8053287
904	162.7224243
905	162.6754277
906	162.6113265
907	162.5860388
908	162.4959644
909	162.4458484
910	162.4192148
911	162.390722
912	162.3624545
913	162.3385282
914	162.1663578
915	161.934673
916	161.8960846
917	161.7718244
918	161.738555
919	161.727403
920	161.7085675
921	161.6450823
922	161.5315055
923	161.4946083
924	161.4417792
925	161.3892838
926	161.3534773
927	161.2978421
928	161.2376265
929	161.1847811
930	161.1121641
931	161.0838221
932	161.0161579
933	160.9911638
934	160.9657382
935	160.7426021
936	160.660592
937	160.6283464
938	160.5969622
939	160.5340177
940	160.5068168
941	160.4864628
942	160.4329466
943	160.4223271
944	160.3887079
945	160.3292055
946	160.3032223
947	160.2702332
948	160.0545088
949	159.9661845
950	159.9201622
951	159.8895493
952	159.8234961
953	159.7714028
954	159.6718313
955	159.6386982
956	159.5993825
957	159.3878567
958	159.3554173
959	159.2966899
960	159.20701
961	159.1513473
962	158.945572
963	158.8023122
964	158.7006058
965	158.6234429
966	158.5812684
967	158.4715121
968	158.4234819
969	158.3730255
970	158.3541442
971	158.3081865
972	158.2778698
973	158.2582104
974	158.2433106
975	158.1650456
976	158.1347414
977	158.0804021
978	158.0505821
979	157.9935729
980	157.9516431
981	157.8978222
982	157.8272064
983	157.7921782
984	157.7532209
985	157.6453699
986	157.6211022
987	157.5998546
988	157.3993708
989	157.3545466
990	157.2947438
991	157.248046
992	157.1565919
993	157.0918296
994	157.0431586
995	156.9926803
996	156.9680454
997	156.944318
998	156.8978615
999	156.7993555
